repository_id,repository_name,repository_type,repository_url,oai_url,software,content_types,content_subjects,organisation_name,organisation_country,metadata_record_count,full_text_record_count
35,University Library System - University of Messina,institutional,http://cab.unime.it,N/A,other,"journal_articles, bibliographic_references, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections, learning_objects, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Messina,it,209037,0
38,Caltech Authors,institutional,https://authors.library.caltech.edu/,N/A,invenio,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",California Institute of Technology,us,96998,66006
40,CaltechTHESIS,institutional,https://thesis.library.caltech.edu/,https://thesis.library.caltech.edu/cgi/oai2,eprints,theses_and_dissertations,"science, social_sciences, technology",California Institute of Technology,us,10399,9072
54,Computer Laboratory Technical Reports - Cambridge University,institutional,https://www.cl.cam.ac.uk/techreports,https://www.cl.cam.ac.uk/techreports/UCAM-CL-TR-OAI-SR.xml,other,unpub_reports_and_working_papers,technology,University of Cambridge,gb,922,0
55,Online Research @ Cardiff,institutional,http://orca.cf.ac.uk,http://orca.cf.ac.uk/cgi/oai2,eprints,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections, datasets, patents, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Cardiff University,gb,111222,34539
57,ePubs: the open archive for STFC research publications,institutional,https://epubs.stfc.ac.uk/,https://epubs.stfc.ac.uk/oai/,other,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types","science, technology",Science and Technology Facilities Council,gb,54108,228
58,Archive Ouverte en Sciences de l'Information et de la Communication,institutional,https://archivesic.ccsd.cnrs.fr,https://api.archives-ouvertes.fr/oai/archivesic,hal,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Centre pour la Communication Scientifique Directe,fr,1137498,55492
59,Archive Electronique - Institut Jean Nicod,institutional,http://jeannicod.ccsd.cnrs.fr/,https://api.archives-ouvertes.fr/oai/jeannicod,hal,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types","arts, humanities, social_sciences",Institut Jean Nicod,fr,1375,641
60,HAL Theses,aggregating,http://tel.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/tel,hal,theses_and_dissertations,"arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Centre pour la Communication Scientifique Directe,fr,113348,8317
61,Central Connecticut State University Collections,institutional,https://collections.ctdigitalarchive.org/islandora/object/530002%3ACCSU,N/A,drupal,"theses_and_dissertations, books_chapters_and_sections, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Central Connecticut State University,us,5451,0
63,Central European University's Academic Archive,institutional,http://ceu.archives.ceu.hu/,http://ceu.archives.ceu.hu/perl/oai2,eprints,"journal_articles, conference_and_workshop_papers, unpub_reports_and_working_papers","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Central European University,hu,9,0
64,Research Support Scheme - Central European University,institutional,http://rss.archives.ceu.hu/,http://rss.archives.ceu.hu/perl/oai2,eprints,unpub_reports_and_working_papers,"arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Central European University,hu,164,0
65,CERN Document Server,disciplinary,http://cds.cern.ch/,http://cds.cern.ch/oai2d,invenio,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types","engineering, science, technology",European Organization for Nuclear Research,ch,760306,152018
66,Thèses de l'INSA de Lyon,institutional,https://theses.insa-lyon.fr/,http://docinsa.insa-lyon.fr/oai/oai2.php,N/A,theses_and_dissertations,"arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Institut National des Sciences Appliquées de Lyon,fr,1028,0
68,Cognitive Sciences ePrint Archive,disciplinary,https://web-archive.southampton.ac.uk/cogprints.org/,http://cogprints.org/cgi/oai2,eprints,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections","health_and_medicine, humanities, science, social_sciences, technology",University of Southampton,gb,4277,2895
69,eCommons,institutional,https://ecommons.cornell.edu/,N/A,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections, learning_objects, software, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Cornell University,us,91189,20295
70,Cranfield CERES,institutional,https://dspace.lib.cranfield.ac.uk/,https://dspace.lib.cranfield.ac.uk/oai/request,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types","health_and_medicine, science, social_sciences, technology",Cranfield University,gb,9494,0
72,Chiba University Repository for Access to Outcomes from Research,institutional,https://opac.ll.chiba-u.jp/da/curator/?lang=1,https://opac.ll.chiba-u.jp/mmd_api/oai-pmh/,other,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, datasets, learning_objects","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Chiba University,jp,97628,42971
73,espace,institutional,https://espace.curtin.edu.au/,https://espace.curtin.edu.au/oai/request,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Curtin University,au,71212,3131
76,Dalarna University College Electronic Archive,institutional,http://du.diva-portal.org/smash/search.jsf?dswid=-1275,http://du.diva-portal.org/dice/oai,diva_portal,"journal_articles, theses_and_dissertations, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Dalarna University,se,9175,0
79,ANU Open Research,institutional,https://openresearch-repository.anu.edu.au/community-list,https://openresearch-repository.anu.edu.au/oai/request?verb=Identify,drupal,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, datasets, learning_objects, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Australian National University,au,100,0
80,HAL-IN2P3,institutional,http://hal.in2p3.fr/,https://api.archives-ouvertes.fr/oai/democrite,hal,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections, other_special_item_types","science, technology",L'Institut National de Physique Nucléaire et de Physique des Particules,fr,65781,5730
