repository_id,repository_name,repository_type,repository_url,organisation_name,organisation_country,metadata_record_count,full_text_record_count
3612,Egerton University Institutional Repository,institutional,http://ir-library.egerton.ac.ke/,Egerton University,ke,885,0
3613,"Federal University of Technology, Minna Institutional Repository",institutional,http://dspace.futminna.edu.ng/jspui/,Federal University of Technology,ng,4454,0
3615,ethesis@nitr,institutional,http://ethesis.nitrkl.ac.in/,"National Institute of Technology, Rourkela",in,6543,0
3616,University of Thessaly Institutional Repository,institutional,https://ir.lib.uth.gr,University of Thessaly,gr,28577,0
3617,Ordu Üniversitesi Açık Arşiv Sistemi,institutional,http://earsiv.odu.edu.tr:8080/xmlui/,Ordu Üniversitesi,tr,439,0
3619,Repository Universitas PGRI Yogyakarta,institutional,http://repository.upy.ac.id/,Universitas PGRI Yogyakarta,id,1668,0
3620,Repository Universitas Negeri Makassar,institutional,http://eprints.unm.ac.id/,Universitas Negeri Makassar,id,15268,8002
3621,Dspace CREAD,institutional,http://dspace.cread.dz:8080/jspui/,Centre de Recherche en Economie Appliquee pour le Developpement,dz,289,0
3622,Neliti,institutional,http://www.neliti.com/,Neliti,id,198132,0
3623,Institutional Repository in Agricultural Sciences of State Agrarian University of Moldova,institutional,http://dspace.uasm.md/,State Agrarian University of Moldova,md,2511,0
3624,Repositorio Institucional de la Universidad Autónoma del Estado de México,institutional,http://ri.uaemex.mx/,Universidad Autónoma del Estado de México,mx,40253,0
3625,Digital Repository of the Greek Biotope-Wetland Centre (EKBY),institutional,http://repository.biodiversity-info.gr/,Ελληνικό Κέντρο Βιοτόπων-Υγροτόπων (Greek Biotope-Wetland Centre),gr,2034,177
3626,Electronic archive of Tomsk Polytechnic University,institutional,http://earchive.tpu.ru/,Tomsk Polytechnic University,ru,46970,0
3627,Lodz University of Technology Repository,institutional,http://repozytorium.p.lodz.pl/,Lodz University of Technology,pl,1431,801
3628,Shendi University Repository,institutional,http://repository.ush.sd:8080/xmlui/,Shendi University,sd,349,0
3630,Repository of the Faculty of Food Technology and Biotechnology,institutional,https://repozitorij.pbf.unizg.hr/en,University of Zagreb,hr,0,0
3631,Agritrop,institutional,http://agritrop.cirad.fr/,Centre de coopération international en recherche agronomique pour le développement,fr,109046,26727
3632,Electronic Repository Kyiv National University of Technologies and Design,institutional,https://er.knutd.edu.ua/,Kyiv National University of Technologies and Design,ua,9153,0
3633,National Taipei University of Nursing and Health Sciences Repository,institutional,http://irlib.ntunhs.edu.tw/,National Taipei University of Nursing and Health Sciences,tw,6619,2
3634,Repositorio Institucional UNAN-Managua,institutional,http://repositorio.unan.edu.ni/,"Universidad Nacional Autónoma de Nicaragua, Managua",ni,7492,0
3635,Repositorio Institucional Uladech Católica,institutional,http://repositorio.uladech.edu.pe/,Universidad Católica los Ángeles de Chimbote,pe,3946,0
3636,Repositório Institucional da UNILA,institutional,https://dspace.unila.edu.br/,Universidade Federal da Integração Latino-Americana,br,2945,0
3637,IR South Eastern University of Sri Lanka,institutional,http://ir.lib.seu.ac.lk,South Eastern University of Sri Lanka,lk,2198,1188
3638,CeSGO,institutional,https://cesgo.genouest.org/,"Institut National de Recherche en Informatique et en Automatique, Rennes",fr,50,2
3639,Kyoto Prefectural University of Medicine Institutional Repository (Kissei),institutional,https://kpu-m.repo.nii.ac.jp,Kyoto Prefectural University of Medicine,jp,127,0
3640,"The National Museum of Western Art, Tokyo /Publications Repository",institutional,https://nmwa.repo.nii.ac.jp/,"The National Museum of Western Art, Tokyo",jp,755,663
3641,Repository of the Chatolic Faculty of Theology in Đakovo,institutional,https://repozitorij.djkbf.hr/,Catholic Faculty of Theology in Đakovo,hr,160,2
